id,origin,destination,algorithm,battery,obstacles_qty,distance,time_to_plan,distance_path,ratio,distance_to_objective,factibility,qty_wp,first_factible_route_found_time,exception
0,region_1,region_2,ag,,1,2659.3086726939196,134.62799978256226,3574.2069311719883,1.344036127837414,0.0,feasible,8,,
1,region_1,region_3,ag,,0,2474.4834937401965,131.112389087677,2721.7889731745063,1.0999422627226767,0.0,feasible,7,,
2,region_1,region_4,ag,,0,2981.269234660517,131.295245885849,3908.344283211371,1.3109665634262722,0.0,feasible,10,,
3,region_1,region_5,ag,,1,3855.5336870601086,131.64775800704956,4361.428430932269,1.1312126374540672,0.0,feasible,10,,
4,region_1,region_6,ag,,1,3065.194324723351,133.52328658103943,3481.047694768331,1.1356694962830824,0.0,feasible,7,,
5,region_1,region_7,ag,,0,2936.6059730759857,135.9998950958252,3109.48317491088,1.0588697303689714,11.708011968952896,verify,9,,
6,region_1,region_8,ag,,0,2858.331468293537,134.6904616355896,3515.7950884664056,1.2300165769666256,0.0,feasible,10,,
7,region_1,region_9,ag,,1,4109.523952536792,131.9136142730713,5073.154138967727,1.2344870592215649,0.0,feasible,9,,
8,region_1,region_10,ag,,1,4415.50557701142,133.15468764305115,4930.886043630675,1.1167206014419946,0.0,feasible,10,,
9,region_1,region_11,ag,,1,4273.236076112515,134.4620804786682,4992.978440450879,1.1684302836348641,0.0,feasible,9,,
10,region_1,region_12,ag,,1,4314.562375066643,133.7126841545105,5078.807868510328,1.1771316363068876,21.488857287534604,verify,10,,
11,region_1,base_1,ag,,1,2137.483524347259,131.04191994667053,3777.445558600452,1.7672396140475524,0.0,feasible,8,,
12,region_1,base_2,ag,,0,2159.696321093774,136.3399498462677,3248.170332775191,1.5039940111256762,0.0,feasible,9,,
13,region_1,base_3,ag,,1,4930.20661825206,136.27527046203613,6285.552643869169,1.2749065364927097,0.0,feasible,10,,
14,region_1,base_4,ag,,0,3092.556923600707,134.14779353141785,3594.4382341770056,1.1622868464428948,0.0,feasible,7,,
15,region_2,region_1,ag,,1,2659.3086726939196,132.9489288330078,2794.4863647055554,1.0508318922882687,0.0,feasible,8,,
16,region_2,region_3,ag,,0,1352.2457597527782,132.99236273765564,1523.6935198088693,1.1267874266342204,0.0,feasible,10,,
17,region_2,region_4,ag,,0,2627.3430832878053,131.97143149375916,3272.444630147402,1.2455338059817942,0.0,feasible,10,,
18,region_2,region_5,ag,,0,1231.9841550149051,132.81196999549866,1368.441792352655,1.1107624938050433,0.0,feasible,7,,
19,region_2,region_6,ag,,0,498.4185861427892,132.84875178337097,575.1102749071765,1.153870041961911,0.0,feasible,6,,
20,region_2,region_7,ag,,0,1599.3739730348238,134.11178469657898,1823.8852271868673,1.140374457717373,0.0,feasible,6,,
21,region_2,region_8,ag,,0,2002.1608175838523,135.86096620559692,2371.0430587146857,1.184242063819823,0.0,feasible,8,,
22,region_2,region_9,ag,,0,1473.91840614736,132.03640127182007,1941.3594922084376,1.3171417658613211,0.0,feasible,9,,
23,region_2,region_10,ag,,0,1758.9541311251855,130.17865180969238,1880.0335777075907,1.0688360454885495,0.0,feasible,11,,
24,region_2,region_11,ag,,0,1618.0524555994743,132.7892632484436,2024.5255252566863,1.2512113054496847,0.0,feasible,6,,
25,region_2,region_12,ag,,0,1665.333972557699,132.08827209472656,2088.5910604434903,1.2541574812382725,0.0,feasible,8,,
26,region_2,base_1,ag,,0,1835.586681589127,131.41884326934814,1958.9209379816018,1.0671906467994747,0.0,feasible,7,,
27,region_2,base_2,ag,,0,1779.2299227817448,131.08451890945435,2106.404573352904,1.1838855374350026,0.0,feasible,10,,
28,region_2,base_3,ag,,0,2292.6606481557396,129.87793827056885,3047.3778623691737,1.3291883667216704,0.0,feasible,10,,
29,region_2,base_4,ag,,0,1043.420809558083,132.52233934402466,1282.635303118495,1.2292598454709043,0.0,feasible,7,,
30,region_3,region_1,ag,,0,2474.4834937401965,134.7350480556488,2933.0771365495025,1.1853290369361644,0.0,feasible,10,,
