id,origin,destination,algorithm,battery,obstacles_qty,distance,time_to_plan,distance_path,ratio,distance_to_objective,factibility,qty_wp,first_factible_route_found_time,exception
0,region_1,region_2,rrt,,1,2659.3086726939196,1.54960036277771,2829.2919872900266,1.0639201144047379,0.0,feasible,115,,
1,region_1,region_3,rrt,,0,2474.4834937401965,1.4897854328155518,2747.8804923089892,1.1104864911244776,0.0,feasible,111,,
2,region_1,region_4,rrt,,0,2981.269234660517,1.2919504642486572,3154.0943232505847,1.0579703055935998,0.0,feasible,128,,
3,region_1,region_5,rrt,,1,3855.5336870601086,1.6554224491119385,4214.1088265779135,1.093002725075714,0.0,feasible,170,,
4,region_1,region_6,rrt,,1,3065.194324723351,1.4770207405090332,3417.6172806581812,1.1149757302798862,0.0,feasible,138,,
5,region_1,region_7,rrt,,0,2936.6059730759857,1.4475681781768799,3170.006144047685,1.0794795669257669,0.0,feasible,128,,
6,region_1,region_8,rrt,,0,2858.331468293537,1.5184483528137207,3163.52319834741,1.1067726865967986,0.0,feasible,128,,
7,region_1,region_9,rrt,,1,4109.523952536792,1.432389259338379,4579.690710117437,1.1144090563799762,0.0,feasible,185,,
8,region_1,region_10,rrt,,1,4415.50557701142,1.5323162078857422,4782.255510700881,1.0830595562145549,0.0,feasible,193,,
9,region_1,region_11,rrt,,1,4273.236076112515,1.349928855895996,4637.480484446317,1.085238540966631,0.0,feasible,187,,
10,region_1,region_12,rrt,,1,4314.562375066643,1.6970999240875244,4815.591128345832,1.1161250457693175,0.0,feasible,194,,
11,region_1,base_1,rrt,,1,2137.483524347259,1.9942069053649902,3361.4545738798806,1.5726224485900522,0.0,feasible,136,,
12,region_1,base_2,rrt,,0,2159.696321093774,1.9765911102294922,3187.3482173472935,1.4758316649504999,0.0,feasible,129,,
13,region_1,base_3,rrt,,1,4930.20661825206,1.7347397804260254,5398.415329510587,1.094967360906372,0.0,feasible,217,,
14,region_1,base_4,rrt,,0,3092.556923600707,1.5108389854431152,3434.6451500528624,1.1106166304786582,0.0,feasible,139,,
15,region_2,region_1,rrt,,1,2659.3086726939196,1.6375138759613037,2974.898867432761,1.1186737733680023,0.0,feasible,120,,
16,region_2,region_3,rrt,,0,1352.2457597527782,1.3873775005340576,1537.8677343644054,1.137269407778038,0.0,feasible,63,,
17,region_2,region_4,rrt,,0,2627.3430832878053,1.4099090099334717,2759.703600428755,1.050378086509858,0.0,feasible,112,,
18,region_2,region_5,rrt,,0,1231.9841550149051,1.481508731842041,1402.9086929797127,1.1387392339982974,0.0,feasible,58,,
19,region_2,region_6,rrt,,0,498.4185861427892,1.4080963134765625,534.0273573963092,1.071443506007857,0.0,feasible,23,,
20,region_2,region_7,rrt,,0,1599.3739730348238,1.7117340564727783,1658.2624931793691,1.0368197314307948,0.0,feasible,68,,
21,region_2,region_8,rrt,,0,2002.1608175838523,1.6302824020385742,2039.6847313690091,1.0187417081862782,0.0,feasible,83,,
22,region_2,region_9,rrt,,0,1473.91840614736,1.3874125480651855,1684.1007528063637,1.142601073290342,0.0,feasible,69,,
23,region_2,region_10,rrt,,0,1758.9541311251855,1.3242888450622559,1943.7891080542272,1.1050823177582263,0.0,feasible,79,,
24,region_2,region_11,rrt,,0,1618.0524555994743,1.2641034126281738,1836.4810357993504,1.1349947459638756,0.0,feasible,75,,
25,region_2,region_12,rrt,,0,1665.333972557699,1.1190876960754395,1828.5154449619874,1.0979872356495954,0.0,feasible,75,,
26,region_2,base_1,rrt,,0,1835.586681589127,1.2434487342834473,1958.7247919024344,1.067083789367388,0.0,feasible,80,,
27,region_2,base_2,rrt,,0,1779.2299227817448,1.4704084396362305,1884.3899020931126,1.0591042101781623,0.0,feasible,77,,
28,region_2,base_3,rrt,,0,2292.6606481557396,1.4001433849334717,2398.6077959881027,1.046211439062117,0.0,feasible,97,,
29,region_2,base_4,rrt,,0,1043.420809558083,1.4803335666656494,1043.4208095580823,0.9999999999999993,0.0,feasible,43,,
30,region_3,region_1,rrt,,0,2474.4834937401965,1.5926504135131836,2830.734298625069,1.143969764108791,0.0,feasible,115,,
31,region_3,region_2,rrt,,0,1352.2457597527782,1.243135690689087,1453.9155669178979,1.0751858945992978,0.0,feasible,60,,
32,region_3,region_4,rrt,,0,1275.8924191562921,1.305966854095459,1301.3422183165148,1.0199466653913125,0.0,feasible,54,,
33,region_3,region_5,rrt,,0,1922.0973499884026,1.3390977382659912,2178.715208494518,1.1335092931206963,0.0,feasible,89,,
34,region_3,region_6,rrt,,0,1307.9400753573977,1.357668399810791,1519.6896066877923,1.1618954379638025,0.0,feasible,62,,
35,region_3,region_7,rrt,,0,476.4879627239755,1.43996000289917,495.8801676537026,1.040698205299597,0.0,feasible,21,,
36,region_3,region_8,rrt,,0,679.041719724434,1.5629563331604004,679.4372578172618,1.0005824945380208,0.0,feasible,29,,
37,region_3,region_9,rrt,,0,2164.767617554617,1.4583101272583008,2464.299976676799,1.138366980683378,0.0,feasible,100,,
38,region_3,region_10,rrt,,0,2537.3900193292898,1.4852573871612549,2811.850826905384,1.1081665827820364,0.0,feasible,114,,
39,region_3,region_11,rrt,,0,2400.9515422350382,1.5790281295776367,2665.319065040153,1.110109478744005,0.0,feasible,108,,
40,region_3,region_12,rrt,,0,2627.784512048685,1.6204168796539307,2891.9283773193065,1.100519606558107,0.0,feasible,117,,
41,region_3,base_1,rrt,,1,2775.4155396842357,1.4750804901123047,2964.5324597471945,1.0681400379002255,0.0,feasible,120,,
42,region_3,base_2,rrt,,0,2736.2293180595857,1.5874338150024414,2963.739202445552,1.0831472285178592,0.0,feasible,120,,
43,region_3,base_3,rrt,,0,3241.3841290433006,1.3723742961883545,3720.3040199034745,1.1477516615722827,0.0,feasible,150,,
44,region_3,base_4,rrt,,0,821.2388143548563,1.3688514232635498,907.6472018417221,1.1052171256113192,0.0,feasible,38,,
